Date,AveragePrice
01/04/1968,4418.489911
01/05/1968,4418.489911
01/06/1968,4418.489911
01/07/1968,4544.73248
01/08/1968,4544.73248
01/09/1968,4544.73248
01/10/1968,4443.738425
01/11/1968,4443.738425
01/12/1968,4443.738425
01/01/1969,4595.229508
01/02/1969,4595.229508
01/03/1969,4595.229508
01/04/1969,4494.235452
01/05/1969,4494.235452
01/06/1969,4494.235452
01/07/1969,4645.726535
01/08/1969,4645.726535
01/09/1969,4645.726535
01/10/1969,4620.478021
01/11/1969,4620.478021
01/12/1969,4620.478021
01/01/1970,4948.7087
01/02/1970,4948.7087
01/03/1970,4948.7087
01/04/1970,4847.714645
01/05/1970,4847.714645
01/06/1970,4847.714645
01/07/1970,5201.193838
01/08/1970,5201.193838
01/09/1970,5201.193838
01/10/1970,5251.690866
01/11/1970,5251.690866
01/12/1970,5251.690866
01/01/1971,5377.933435
01/02/1971,5377.933435
01/03/1971,5377.933435
01/04/1971,5706.164114
01/05/1971,5706.164114
01/06/1971,5706.164114
01/07/1971,5958.649252
01/08/1971,5958.649252
01/09/1971,5958.649252
01/10/1971,6312.128444
01/11/1971,6312.128444
01/12/1971,6312.128444
01/01/1972,7044.335344
01/02/1972,7044.335344
01/03/1972,7044.335344
01/04/1972,7877.536299
01/05/1972,7877.536299
01/06/1972,7877.536299
01/07/1972,8937.973877
01/08/1972,8937.973877
01/09/1972,8937.973877
01/10/1972,10048.90848
01/11/1972,10048.90848
01/12/1972,10048.90848
01/01/1973,10528.63025
01/02/1973,10528.63025
01/03/1973,10528.63025
01/04/1973,10680.12133
01/05/1973,10680.12133
01/06/1973,10680.12133
01/07/1973,11210.34012
01/08/1973,11210.34012
01/09/1973,11210.34012
01/10/1973,10882.10944
01/11/1973,10882.10944
01/12/1973,10882.10944
01/01/1974,11260.83714
01/02/1974,11260.83714
01/03/1974,11260.83714
01/04/1974,10856.86092
01/05/1974,10856.86092
01/06/1974,10856.86092
01/07/1974,10806.3639
01/08/1974,10806.3639
01/09/1974,10806.3639
01/10/1974,11235.58863
01/11/1974,11235.58863
01/12/1974,11235.58863
01/01/1975,10755.86687
01/02/1975,10755.86687
01/03/1975,10755.86687
01/04/1975,11412.32823
01/05/1975,11412.32823
01/06/1975,11412.32823
01/07/1975,11715.31039
01/08/1975,11715.31039
01/09/1975,11715.31039
01/10/1975,11311.33417
01/11/1975,11311.33417
01/12/1975,11311.33417
01/01/1976,11690.06188
01/02/1976,11690.06188
01/03/1976,11690.06188
01/04/1976,12144.53513
01/05/1976,12144.53513
01/06/1976,12144.53513
01/07/1976,12094.0381
01/08/1976,12094.0381
01/09/1976,12094.0381
01/10/1976,12472.76581
01/11/1976,12472.76581
01/12/1976,12472.76581
01/01/1977,12851.49351
01/02/1977,12851.49351
01/03/1977,12851.49351
01/04/1977,12397.02026
01/05/1977,12397.02026
01/06/1977,12397.02026
01/07/1977,13179.72419
01/08/1977,13179.72419
01/09/1977,13179.72419
01/10/1977,13331.21527
01/11/1977,13331.21527
01/12/1977,13331.21527
01/01/1978,14012.92515
01/02/1978,14012.92515
01/03/1978,14012.92515
01/04/1978,15325.84786
01/05/1978,15325.84786
01/06/1978,15325.84786
01/07/1978,15982.30922
01/08/1978,15982.30922
01/09/1978,15982.30922
01/10/1978,16790.26166
01/11/1978,16790.26166
01/12/1978,16790.26166
01/01/1979,18885.88831
01/02/1979,18885.88831
01/03/1979,18885.88831
01/04/1979,20123.06548
01/05/1979,20123.06548
01/06/1979,20123.06548
01/07/1979,21309.74563
01/08/1979,21309.74563
01/09/1979,21309.74563
01/10/1979,22723.6624
01/11/1979,22723.6624
01/12/1979,22723.6624
01/01/1980,24036.58512
01/02/1980,24036.58512
01/03/1980,24036.58512
01/04/1980,25273.76229
01/05/1980,25273.76229
01/06/1980,25273.76229
01/07/1980,25450.50189
01/08/1980,25450.50189
01/09/1980,25450.50189
01/10/1980,25930.22365
01/11/1980,25930.22365
01/12/1980,25930.22365
01/01/1981,24869.78607
01/02/1981,24869.78607
01/03/1981,24869.78607
01/04/1981,26510.93947
01/05/1981,26510.93947
01/06/1981,26510.93947
01/07/1981,26258.45433
01/08/1981,26258.45433
01/09/1981,26258.45433
01/10/1981,26409.94541
01/11/1981,26409.94541
01/12/1981,26409.94541
01/01/1982,24566.80391
01/02/1982,24566.80391
01/03/1982,24566.80391
01/04/1982,26409.94541
01/05/1982,26409.94541
01/06/1982,26409.94541
01/07/1982,26889.66717
01/08/1982,26889.66717
01/09/1982,26889.66717
01/10/1982,27773.36516
01/11/1982,27773.36516
01/12/1982,27773.36516
01/01/1983,28278.33543
01/02/1983,28278.33543
01/03/1983,28278.33543
01/04/1983,29035.79084
01/05/1983,29035.79084
01/06/1983,29035.79084
01/07/1983,30298.21653
01/08/1983,30298.21653
01/09/1983,30298.21653
01/10/1983,31055.67195
01/11/1983,31055.67195
01/12/1983,31055.67195
01/01/1984,31560.64222
01/02/1984,31560.64222
01/03/1984,31560.64222
01/04/1984,34590.46388
01/05/1984,34590.46388
01/06/1984,34590.46388
01/07/1984,35347.91929
01/08/1984,35347.91929
01/09/1984,35347.91929
01/10/1984,36105.3747
01/11/1984,36105.3747
01/12/1984,36105.3747
01/01/1985,35852.88956
01/02/1985,35852.88956
01/03/1985,35852.88956
01/04/1985,38882.71122
01/05/1985,38882.71122
01/06/1985,38882.71122
01/07/1985,39640.16663
01/08/1985,39640.16663
01/09/1985,39640.16663
01/10/1985,41912.53287
01/11/1985,41912.53287
01/12/1985,41912.53287
01/01/1986,43427.4437
01/02/1986,43427.4437
01/03/1986,43427.4437
01/04/1986,46962.23563
01/05/1986,46962.23563
01/06/1986,46962.23563
01/07/1986,48982.11673
01/08/1986,48982.11673
01/09/1986,48982.11673
01/10/1986,52516.90866
01/11/1986,52516.90866
01/12/1986,52516.90866
01/01/1987,53779.33435
01/02/1987,53779.33435
01/03/1987,53779.33435
01/04/1987,56809.156
01/05/1987,56809.156
01/06/1987,56809.156
01/07/1987,60596.43307
01/08/1987,60596.43307
01/09/1987,60596.43307
01/10/1987,65386.16673
01/11/1987,65386.16673
01/12/1987,65386.16673
01/01/1988,67355.62958
01/02/1988,67355.62958
01/03/1988,67355.62958
01/04/1988,70900.66271
01/05/1988,70900.66271
01/06/1988,70900.66271
01/07/1988,76021.26613
01/08/1988,76021.26613
01/09/1988,76021.26613
01/10/1988,81535.76212
01/11/1988,81535.76212
01/12/1988,81535.76212
01/01/1989,77990.72899
01/02/1989,77990.72899
01/03/1989,77990.72899
01/04/1989,81929.65469
01/05/1989,81929.65469
01/06/1989,81929.65469
01/07/1989,80747.97698
01/08/1989,80747.97698
01/09/1989,80747.97698
01/10/1989,78384.62156
01/11/1989,78384.62156
01/12/1989,78384.62156
01/01/1990,79908.8555
01/02/1990,79908.8555
01/03/1990,79908.8555
01/04/1990,77318.48985
01/05/1990,77318.48985
01/06/1990,77318.48985
01/07/1990,81243.28629
01/08/1990,81243.28629
01/09/1990,81243.28629
01/10/1990,75827.06721
01/11/1990,75827.06721
01/12/1990,75827.06721
01/01/1991,76847.51428
01/02/1991,76847.51428
01/03/1991,76847.51428
01/04/1991,75199.09977
01/05/1991,75199.09977
01/06/1991,75199.09977
01/07/1991,75905.56313
01/08/1991,75905.56313
01/09/1991,75905.56313
01/10/1991,73393.69341
01/11/1991,73393.69341
01/12/1991,73393.69341
01/01/1992,73393.69341
01/02/1992,73393.69341
01/03/1992,73393.69341
01/04/1992,67506.49875
01/05/1992,67506.49875
01/06/1992,67506.49875
01/07/1992,67302.55163
01/08/1992,67302.55163
01/09/1992,67302.55163
01/10/1992,64787.20374
01/11/1992,64787.20374
01/12/1992,64787.20374
01/01/1993,67574.48113
01/02/1993,67574.48113
01/03/1993,67574.48113
01/04/1993,68934.12864
01/05/1993,68934.12864
01/06/1993,68934.12864
01/07/1993,68254.30488
01/08/1993,68254.30488
01/09/1993,68254.30488
01/10/1993,67098.6045
01/11/1993,67098.6045
01/12/1993,67098.6045
01/01/1994,67642.4635
01/02/1994,67642.4635
01/03/1994,67642.4635
01/04/1994,73013.07116
01/05/1994,73013.07116
01/06/1994,73013.07116
01/07/1994,73285.00066
01/08/1994,73285.00066
01/09/1994,73285.00066
01/10/1994,70905.61752
01/11/1994,70905.61752
01/12/1994,70905.61752
01/01/1995,74435.76052
01/02/1995,72777.93709
01/03/1995,73896.84204
01/04/1995,74455.28754
01/05/1995,75432.02786
01/06/1995,75606.24501
01/07/1995,75984.24079
01/08/1995,75529.34488
01/09/1995,74940.80872
01/10/1995,74302.0803
01/11/1995,74117.79087
01/12/1995,75177.55688
01/01/1996,75341.92348
01/02/1996,76086.63663
01/03/1996,75690.64654
01/04/1996,76767.25318
01/05/1996,77214.87861
01/06/1996,78138.84404
01/07/1996,78798.97476
01/08/1996,79058.3034
01/09/1996,79752.07101
01/10/1996,79504.42501
01/11/1996,80223.97109
01/12/1996,81416.76441
01/01/1997,83065.73641
01/02/1997,83579.43297
01/03/1997,84575.76782
01/04/1997,86087.556
01/05/1997,88543.68327
01/06/1997,89231.14462
01/07/1997,92128.63196
01/08/1997,92120.05411
01/09/1997,94180.40434
01/10/1997,93917.86008
01/11/1997,95033.86393
01/12/1997,96862.90572
01/01/1998,97913.84288
01/02/1998,96944.16268
01/03/1998,98933.93879
01/04/1998,101286.8198
01/05/1998,101077.4683
01/06/1998,102890.7686
01/07/1998,104367.7808
01/08/1998,104077.5326
01/09/1998,104611.3516
01/10/1998,104179.2498
01/11/1998,104259.4976
01/12/1998,104784.9257
01/01/1999,105695.3248
01/02/1999,105273.2534
01/03/1999,107397.634
01/04/1999,109621.2203
01/05/1999,111215.7079
01/06/1999,113318.7026
01/07/1999,117032.6045
01/08/1999,119357.8562
01/09/1999,122610.8454
01/10/1999,123001.7034
01/11/1999,125792.4949
01/12/1999,127917.7716
01/01/2000,130410.6112
01/02/2000,132705.3806
01/03/2000,134286.0932
01/04/2000,140670.2726
01/05/2000,140861.8441
01/06/2000,143541.8844
01/07/2000,146228.2058
01/08/2000,147284.2636
01/09/2000,147316.4398
01/10/2000,145625.9532
01/11/2000,147666.3251
01/12/2000,147483.0454
01/01/2001,149543.2598
01/02/2001,149776.338
01/03/2001,150941.3523
01/04/2001,152865.4801
01/05/2001,157155.9708
01/06/2001,158760.1771
01/07/2001,161122.2779
01/08/2001,164628.3601
01/09/2001,164820.3474
01/10/2001,166189.3521
01/11/2001,167213.8399
01/12/2001,167692.7516
01/01/2002,169840.6632
01/02/2002,170501.5657
01/03/2002,172748.9568
01/04/2002,178217.5213
01/05/2002,182805.2607
01/06/2002,186038.3234
01/07/2002,191162.1883
01/08/2002,195333.1199
01/09/2002,197044.8486
01/10/2002,199092.3697
01/11/2002,202526.7828
01/12/2002,203437.4467
01/01/2003,207162.34
01/02/2003,206464.2219
01/03/2003,205573.1124
01/04/2003,207953.3595
01/05/2003,210582.5633
01/06/2003,208940.7784
01/07/2003,213806.4541
01/08/2003,212692.167
01/09/2003,212900.6703
01/10/2003,214607.8143
01/11/2003,215556.1606
01/12/2003,216971.4174
01/01/2004,218855.4575
01/02/2004,219803.6063
01/03/2004,221323.7542
01/04/2004,225862.7176
01/05/2004,227330.3145
01/06/2004,230156.3201
01/07/2004,233876.8558
01/08/2004,234835.526
01/09/2004,234133.6259
01/10/2004,232287.072
01/11/2004,234718.2209
01/12/2004,230184.9674
01/01/2005,232422.1606
01/02/2005,231321.1009
01/03/2005,231263.1991
01/04/2005,235367.2452
01/05/2005,235685.1628
01/06/2005,235898.8337
01/07/2005,237871.6126
01/08/2005,237971.1048
01/09/2005,236915.5232
01/10/2005,234297.8656
01/11/2005,236560.7683
01/12/2005,238376.6528
01/01/2006,239845.5309
01/02/2006,239114.9725
01/03/2006,241380.3315
01/04/2006,245474.4153
01/05/2006,247591.1474
01/06/2006,251417.4307
01/07/2006,253882.7406
01/08/2006,256703.7586
01/09/2006,257541.4652
01/10/2006,259114.5995
01/11/2006,258813.5529
01/12/2006,264494.1856
01/01/2007,267658.3296
01/02/2007,270779.8163
01/03/2007,273479.205
01/04/2007,278805.0539
01/05/2007,282726.2531
01/06/2007,285957.5057
01/07/2007,295693.6582
01/08/2007,297653.4184
01/09/2007,298413.8077
01/10/2007,298559.0729
01/11/2007,297647.7276
01/12/2007,297994.338
01/01/2008,298596.4128
01/02/2008,295700.4441
01/03/2008,293604.5433
01/04/2008,294346.2729
01/05/2008,295163.3266
01/06/2008,290100.4863
01/07/2008,290261.0368
01/08/2008,281721.4203
01/09/2008,276486.6022
01/10/2008,266999.0511
01/11/2008,258647.4978
01/12/2008,253881.051
01/01/2009,253092.6023
01/02/2009,249846.6228
01/03/2009,247263.973
01/04/2009,245350.7497
01/05/2009,249991.2528
01/06/2009,253595.924
01/07/2009,259792.6214
01/08/2009,262075.5473
01/09/2009,267500.9223
01/10/2009,268780.2051
01/11/2009,266836.5268
01/12/2009,270118.1305
01/01/2010,279724
01/02/2010,278753.4281
01/03/2010,280472.1517
01/04/2010,281981.0128
01/05/2010,281762.2457
01/06/2010,284540.7449
01/07/2010,292771.7301
01/08/2010,290645.8772
01/09/2010,290093.0646
01/10/2010,286130.6712
01/11/2010,282289.5362
01/12/2010,285353.0741
01/01/2011,287982.8882
01/02/2011,285226.7229
01/03/2011,287091.9424
01/04/2011,293992.5019
01/05/2011,284721.751
01/06/2011,285905.9657
01/07/2011,295843.2159
01/08/2011,294902.9068
01/09/2011,295358.0831
01/10/2011,292266.5855
01/11/2011,291036.3036
01/12/2011,292284.0988
01/01/2012,294360.4398
01/02/2012,292381.4559
01/03/2012,290378.6108
01/04/2012,299064.7443
01/05/2012,304081.1706
01/06/2012,306823.3901
01/07/2012,308961.5017
01/08/2012,310043.0091
01/09/2012,308468.7338
01/10/2012,310281.0781
01/11/2012,308539.5826
01/12/2012,313744.2327
01/01/2013,311364.3411
01/02/2013,313549.9034
01/03/2013,312289.3093
01/04/2013,320921.2527
01/05/2013,322324.279
01/06/2013,324518.3441
01/07/2013,332988.3209
01/08/2013,335742.5298
01/09/2013,340494.0177
01/10/2013,340044.8339
01/11/2013,343749.3242
01/12/2013,352028.127
01/01/2014,355829.6511
01/02/2014,357875.8362
01/03/2014,361400.0389
01/04/2014,375336.8031
01/05/2014,382704.6087
01/06/2014,387182.1043
01/07/2014,398737.3718
01/08/2014,404754.4481
01/09/2014,403669.6168
01/10/2014,402300.0222
01/11/2014,400803.1627
01/12/2014,402898.3623
01/01/2015,402847.4493
01/02/2015,404773.4202
01/03/2015,404705.9013
01/04/2015,410445.0694
01/05/2015,415816.9196
01/06/2015,419474.3104
01/07/2015,431643.612
01/08/2015,436151.6431
01/09/2015,439729.3128
01/10/2015,440484.3845
01/11/2015,445484.7572
01/12/2015,450053.1608
01/01/2016,457465.5885
01/02/2016,457758.5483
01/03/2016,464647.4486
01/04/2016,461068.1547
01/05/2016,467484.5227
01/06/2016,468119.9898
01/07/2016,475529.7837
01/08/2016,471957.4475
01/09/2016,471767.0703
01/10/2016,471008.4371
01/11/2016,470853.807
01/12/2016,472373.7642
01/01/2017,475618.9979
01/02/2017,476716.9835
01/03/2017,475441.688
01/04/2017,479790.4078
01/05/2017,480901.6694
01/06/2017,480151.9295
01/07/2017,488526.6277
01/08/2017,487084.613
01/09/2017,483832.7452
01/10/2017,481761.8851
01/11/2017,476290.475
01/12/2017,476848.0165
01/01/2018,479772.2916
01/02/2018,477859.6699
01/03/2018,472357.0661
01/04/2018,477253.3963
01/05/2018,478485.4741
01/06/2018,479931.3772
01/07/2018,484724.1072
01/08/2018,479549.8602
01/09/2018,476545.004
01/10/2018,480057.1994
01/11/2018,474347.2558
01/12/2018,473252.2636
01/01/2019,470067.4895
01/02/2019,466068.2219
01/03/2019,464162.2096
01/04/2019,469536.5811
01/05/2019,463628.2754
01/06/2019,470519.039
01/07/2019,478504.7105
01/08/2019,472728.5781
01/09/2019,477146.142
01/10/2019,472667.714
01/11/2019,468756.629
01/12/2019,479153.2319
01/01/2020,475947.8309
01/02/2020,474480.3413
01/03/2020,482604.6877
01/04/2020,476159.3587
01/05/2020,473225.3197
01/06/2020,479969.1918
01/07/2020,483829.7871
01/08/2020,489424.0835
01/09/2020,492441.9366
01/10/2020,486028.8657
01/11/2020,494049.1745
01/12/2020,495553.4741
01/01/2021,497568.4016
01/02/2021,491079.6359
01/03/2021,500720.0997
01/04/2021,498410.0719
01/05/2021,492260.1259
01/06/2021,506592.2808
01/07/2021,498083.3521
01/08/2021,525893.186
